#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
3734320	203228	3654	128456	109863	-	-	C9orf72	IRAK1	ALSFTD|FTDALS	IRAK|pelle	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734321	203228	51428	128456	119534	-	-	C9orf72	DDX41	ALSFTD|FTDALS	ABS	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734322	203228	10576	128456	115827	-	-	C9orf72	CCT2	ALSFTD|FTDALS	99D8.1|CCT-beta|CCTB|HEL-S-100n|PRO1633|TCP-1-beta	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734323	203228	55201	128456	120498	-	-	C9orf72	MAP1S	ALSFTD|FTDALS	BPY2IP1|C19orf5|MAP8|VCY2IP-1|VCY2IP1	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734324	203228	25814	128456	117343	-	RP1-37M3.7	C9orf72	ATXN10	ALSFTD|FTDALS	E46L|HUMEEP|SCA10	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734325	203228	56993	128456	121308	-	-	C9orf72	TOMM22	ALSFTD|FTDALS	1C9-2|MST065|MSTP065|TOM22	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734326	203228	7531	128456	113363	-	-	C9orf72	YWHAE	ALSFTD|FTDALS	14-3-3E|HEL2|KCIP-1|MDCR|MDS	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734327	203228	7444	128456	113283	-	-	C9orf72	VRK2	ALSFTD|FTDALS	-	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734328	203228	10985	128456	116181	-	-	C9orf72	GCN1L1	ALSFTD|FTDALS	GCN1|GCN1L|PRIC295	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734329	203228	8833	128456	114360	-	-	C9orf72	GMPS	ALSFTD|FTDALS	-	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734330	203228	10376	128456	115651	-	-	C9orf72	TUBA1B	ALSFTD|FTDALS	K-ALPHA-1	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734331	203228	26608	128456	117762	-	UNQ563/PRO1125	C9orf72	TBL2	ALSFTD|FTDALS	WBSCR13|WS-betaTRP	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734332	203228	5825	128456	111783	-	-	C9orf72	ABCD3	ALSFTD|FTDALS	ABC43|PMP70|PXMP1|ZWS2	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734333	203228	2521	128456	108797	-	-	C9orf72	FUS	ALSFTD|FTDALS	ALS6|ETM4|FUS1|HNRNPP2|POMP75|TLS	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734334	203228	8732	128456	114270	-	RP3-488C13.1	C9orf72	RNGTT	ALSFTD|FTDALS	CAP1A|HCE|HCE1|hCAP	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734335	203228	10788	128456	116004	-	-	C9orf72	IQGAP2	ALSFTD|FTDALS	-	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734336	203228	5725	128456	111697	-	-	C9orf72	PTBP1	ALSFTD|FTDALS	HNRNP-I|HNRNPI|HNRPI|PTB|PTB-1|PTB-T|PTB2|PTB3|PTB4|pPTB	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734337	203228	10949	128456	116149	-	-	C9orf72	HNRNPA0	ALSFTD|FTDALS	HNRPA0	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
